y	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Positive	Negative	Positive	Positive	Positive
Positive	Positive	unknown state	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Positive	unknown state	Negative	unknown state	Positive	unknown state
Positive	Positive	Positive	Negative	Negative	Negative
unknown state	unknown state	Negative	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Mixed feelings	Mixed feelings	not-Kannada	Mixed feelings	Mixed feelings
Positive	unknown state	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Negative	Negative	Negative
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Negative	Positive
not-Kannada	not-Kannada	unknown state	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	not-Kannada	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	Positive	Positive
unknown state	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
unknown state	unknown state	Positive	Negative	unknown state	unknown state
Mixed feelings	Negative	Positive	Negative	Mixed feelings	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Mixed feelings	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	not-Kannada	Positive	Positive
Negative	Negative	Positive	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	not-Kannada	Positive
Mixed feelings	Positive	Positive	Positive	not-Kannada	Positive
Negative	Negative	Positive	Negative	Negative	Negative
unknown state	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Mixed feelings	unknown state	unknown state	Negative	unknown state	unknown state
Positive	Negative	Negative	Positive	Positive	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
unknown state	Negative	Negative	Mixed feelings	not-Kannada	Negative
Positive	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Mixed feelings	Negative	unknown state	Mixed feelings	Mixed feelings
Negative	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
not-Kannada	Positive	Positive	not-Kannada	not-Kannada	Positive
Negative	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Positive	unknown state	Positive	Positive
Positive	Positive	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	not-Kannada	not-Kannada	Positive
Positive	unknown state	Negative	Positive	Positive	Positive
Mixed feelings	Positive	Positive	not-Kannada	Negative	Positive
Mixed feelings	Positive	Positive	Positive	Mixed feelings	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Mixed feelings	Positive	Mixed feelings	Positive
Positive	Positive	Positive	Positive	unknown state	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Negative	Mixed feelings	Positive	Negative	Negative	Negative
Positive	Positive	not-Kannada	Positive	Positive	Positive
not-Kannada	Positive	Mixed feelings	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Negative	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Positive	Negative
unknown state	unknown state	Positive	Negative	Negative	Negative
Negative	Negative	Positive	Negative	Negative	Negative
Negative	Negative	Positive	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Negative	Positive	not-Kannada	Positive
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	not-Kannada	Negative	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Mixed feelings	Positive	Positive	Positive
Negative	Positive	Negative	Negative	Mixed feelings	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Negative	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	not-Kannada	Positive	Negative	Positive	Positive
Positive	Negative	Positive	Negative	Negative	Negative
Positive	Negative	Positive	Negative	Positive	Negative
unknown state	not-Kannada	Positive	not-Kannada	unknown state	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	not-Kannada	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	Positive	Positive	Positive
not-Kannada	Positive	Positive	not-Kannada	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Negative	Negative	Negative
unknown state	unknown state	unknown state	Positive	unknown state	unknown state
Mixed feelings	unknown state	unknown state	Positive	not-Kannada	unknown state
Positive	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
unknown state	Positive	unknown state	Positive	Positive	Positive
Mixed feelings	Positive	Negative	Negative	Positive	Negative
Positive	Positive	not-Kannada	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	not-Kannada	Positive	not-Kannada	Positive	Positive
Negative	Negative	Mixed feelings	Positive	Positive	Positive
Mixed feelings	Negative	Negative	Negative	Positive	Negative
unknown state	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	Positive	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	Positive	unknown state	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	not-Kannada	not-Kannada	Positive
Positive	Negative	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	not-Kannada	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Positive	Negative	Negative	Negative
Mixed feelings	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Positive	Negative
Negative	Positive	Mixed feelings	Positive	Positive	Positive
Negative	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Negative	Positive	Negative	Positive	Positive	Positive
Positive	Negative	Positive	Positive	Positive	Positive
unknown state	Negative	unknown state	unknown state	Negative	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Mixed feelings	Mixed feelings	Positive	Positive
not-Kannada	unknown state	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Positive	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	not-Kannada	Positive	Positive
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
unknown state	not-Kannada	not-Kannada	unknown state	unknown state	not-Kannada
not-Kannada	unknown state	unknown state	unknown state	not-Kannada	unknown state
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Negative	Mixed feelings	Negative	Negative	Negative
